"Trial","X1.Second.Residency","X1.Minute.Residency","X5.Minute.Residency","X1.Hour.Visits..1.Second.","X1.Hour.Visits..1.Minute.","X1.Hour.Visits..5.Minutes.","X1.Hour.Total.Time..1.Second.","X1.Hour.Total.Time..1.Minute.","X1.Hour.Total.Time..5.Minutes.","X2.Hour.Visits..1.Second.","X2.Hour.Visits..1.Minute.","X2.Hour.Visits..5.Minutes.","X2.Hour.Total.Time..1.Second.","X2.Hour.Total.Time..1.Minute.","X2.Hour.Total.Time..5.Minutes.","Half.Hour.Visits..1.Second.","Half.Hour.Visits..1.Minute.","Half.Hour.Visits..5.Minutes.","Half.Hour.Total.Time..1.Second.","Half.Hour.Total.Time..1.Minute.","Half.Hour.Total.Time..5.Minutes."
1,1,0.897293546148508,0.927335640138408,1,1,1,86401,77580,80400,1,1,1,86401,77580,80400,1,1,1,86401,77580,80400
2,1,0.828591256072172,0.826989619377163,1,1,1,86401,71640,71700,1,1,1,86401,71640,71700,1,1,2,86401,71640,71700
3,1,0.62734212352533,0.619377162629758,1,1,1,86401,54240,53700,1,1,1,86401,54240,53700,1,1,2,86401,54240,53700
4,1,0.986814712005552,0.972318339100346,1,1,1,86401,85320,84300,1,1,1,86401,85320,84300,1,1,1,86401,85320,84300
5,1,0.796668979875087,0.802768166089965,1,1,1,86401,68880,69600,1,1,1,86401,68880,69600,1,1,1,86401,68880,69600
6,1,0.910478834142956,0.906574394463668,1,1,1,86401,78720,78600,1,1,1,86401,78720,78600,1,1,1,86401,78720,78600
7,0.332368838323631,0.23941707147814,0.217993079584775,1,1,1,28717,20700,18900,1,1,1,28717,20700,18900,1,1,1,28717,20700,18900
8,1,0.905621096460791,0.896193771626298,1,1,1,86401,78300,77700,1,1,1,86401,78300,77700,1,1,1,86401,78300,77700
9,0.751484357819933,0.458709229701596,0.487889273356401,4,4,3,64929,39660,42300,2,2,2,64929,39660,42300,4,4,4,64929,39660,42300
10,1,0.995836224843858,1,1,1,1,86401,86100,86700,1,1,1,86401,86100,86700,1,1,1,86401,86100,86700
11,1,0.862595419847328,0.86159169550173,1,1,1,86401,74580,74700,1,1,1,86401,74580,74700,1,1,1,86401,74580,74700
12,1,0.930603747397641,0.903114186851211,1,1,1,86401,80460,78300,1,1,1,86401,80460,78300,1,1,1,86401,80460,78300
13,0.922963854585016,0.622484385843164,0.622837370242215,2,2,2,79745,53820,54000,1,1,1,79745,53820,54000,2,2,3,79745,53820,54000
14,0.484218932651242,0.359472588480222,0.384083044982699,3,3,3,41837,31080,33300,2,2,2,41837,31080,33300,3,3,3,41837,31080,33300
15,0.352901008090184,0.233171408743928,0.245674740484429,1,1,1,30491,20160,21300,1,1,1,30491,20160,21300,1,1,1,30491,20160,21300
16,0.542111781113645,0.424011103400416,0.418685121107266,4,4,3,46839,36660,36300,2,2,3,46839,36660,36300,4,4,3,46839,36660,36300
17,0.903751113991736,0.814018043025677,0.813148788927336,2,2,2,78085,70380,70500,1,1,1,78085,70380,70500,3,3,4,78085,70380,70500
18,0.953287577690073,0.779319916724497,0.771626297577855,1,1,1,82365,67380,66900,1,1,1,82365,67380,66900,2,2,3,82365,67380,66900
19,1,0.961832061068702,0.965397923875433,1,1,1,86401,83160,83700,1,1,1,86401,83160,83700,1,1,1,86401,83160,83700
20,0.998761588407542,0.750173490631506,0.737024221453287,1,1,1,86294,64860,63900,1,1,1,86294,64860,63900,1,1,2,86294,64860,63900
21,1,0.835530881332408,0.86159169550173,1,1,1,86401,72240,74700,1,1,1,86401,72240,74700,1,1,1,86401,72240,74700
22,1,0.777238029146426,0.740484429065744,1,1,1,86401,67200,64200,1,1,1,86401,67200,64200,1,1,2,86401,67200,64200
23,1,0.845246356696738,0.85121107266436,1,1,1,86401,73080,73800,1,1,1,86401,73080,73800,1,1,1,86401,73080,73800
24,0.453860487725836,0.299791811242193,0.311418685121107,4,4,3,39214,25920,27000,4,4,3,39214,25920,27000,4,4,4,39214,25920,27000
25,1,0.945176960444136,0.944636678200692,1,1,1,86401,81720,81900,1,1,1,86401,81720,81900,1,1,1,86401,81720,81900
26,0.640652307264962,0.512838306731436,0.501730103806228,1,1,1,55353,44340,43500,1,1,1,55353,44340,43500,1,1,3,55353,44340,43500
27,0.934514646821217,0.634975711311589,0.598615916955017,1,1,1,80743,54900,51900,1,1,1,80743,54900,51900,2,2,4,80743,54900,51900
28,0.430990382055763,0.282442748091603,0.273356401384083,2,2,3,37238,24420,23700,2,2,2,37238,24420,23700,4,4,4,37238,24420,23700
29,0.480468976053518,0.324080499653019,0.332179930795848,1,1,1,41513,28020,28800,1,1,1,41513,28020,28800,1,1,2,41513,28020,28800
30,0.93022071503802,0.649548924358085,0.629757785467128,1,1,2,80372,56160,54600,1,1,1,80372,56160,54600,1,2,3,80372,56160,54600
31,0.514739412738279,0.321304649548924,0.311418685121107,1,1,2,44474,27780,27000,1,1,1,44474,27780,27000,2,2,3,44474,27780,27000
32,1,0.768910478834143,0.792387543252595,1,1,1,86401,66480,68700,1,1,1,86401,66480,68700,1,1,1,86401,66480,68700
33,0.783648337403502,0.605135322692575,0.588235294117647,2,2,2,67708,52320,51000,1,1,1,67708,52320,51000,2,2,2,67708,52320,51000
34,0.92509345956644,0.603747397640527,0.612456747404844,1,1,2,79929,52200,53100,1,1,1,79929,52200,53100,1,1,2,79929,52200,53100
35,1,0.873698820263706,0.892733564013841,1,1,1,86401,75540,77400,1,1,1,86401,75540,77400,1,1,2,86401,75540,77400
36,1,0.807078417765441,0.795847750865052,1,1,1,86401,69780,69000,1,1,1,86401,69780,69000,1,1,1,86401,69780,69000
37,1,0.997224149895906,0.996539792387543,1,1,1,86401,86220,86400,1,1,1,86401,86220,86400,1,1,1,86401,86220,86400
38,0.664158979641439,0.484385843164469,0.460207612456747,3,3,3,57384,41880,39900,2,3,3,57384,41880,39900,3,4,5,57384,41880,39900
39,1,0.990978487161693,0.986159169550173,1,1,1,86401,85680,85500,1,1,1,86401,85680,85500,1,1,1,86401,85680,85500
