Iteration,Blue_Path_Total_Gaps_Sum,Positions_1_Min_Total_Gaps_Sum,Positions_5_Min_Total_Gaps_Sum,Blue_Path_Residency_Time,Positions_1_Min_Residency_Time,Positions_5_Min_Residency_Time
1,20132,76,440,66268,1000,213
2,4646,0,180,81754,1260,289
3,55144,192,958,31256,482,97
4,28198,78,505,58202,935,211
5,21990,82,413,64410,1027,207
6,74681,251,1276,11719,164,38
7,15235,38,373,71165,1067,251
8,65882,208,1126,20518,314,81
9,14625,51,405,71775,1035,238
10,35150,118,586,51250,854,171
11,4996,0,101,81404,1339,289
12,57692,183,1008,28708,432,106
13,50184,157,912,36216,528,132
14,26183,90,564,60217,876,199
15,7096,0,245,79304,1195,289
16,45059,144,798,41341,642,145
17,4179,0,164,82221,1276,289
18,32024,96,631,54376,809,193
19,74539,241,1269,11861,171,48
20,28953,73,571,57447,869,216
21,76476,260,1303,9924,137,29
22,20629,79,419,65771,1021,210
23,27060,108,484,59340,956,181
24,42224,141,784,44176,656,148
25,26062,89,467,60338,973,200
26,0,0,36,86400,1404,289
27,8768,0,283,77632,1157,289
28,8843,0,250,77557,1190,289
29,69249,236,1158,17151,282,53
30,42885,122,865,43515,575,167
31,62322,179,1094,24078,346,110
32,4624,0,263,81776,1177,289
33,0,0,6,86400,1434,289
34,38977,113,692,47423,748,176
35,2411,0,68,83989,1372,289
36,54994,168,1011,31406,429,121
37,40115,134,750,46285,690,155
38,2304,0,164,84096,1276,289
39,48660,168,876,37740,564,121
40,27395,88,544,59005,896,201
41,0,0,30,86400,1410,289
42,40425,138,676,45975,764,151
43,43166,140,829,43234,611,149
44,19630,59,399,66770,1041,230
45,13197,0,304,73203,1136,289
46,40660,145,749,45740,691,144
47,22228,79,423,64172,1017,210
48,75383,262,1313,11017,127,27
49,70514,236,1219,15886,221,53
50,0,0,0,86400,1440,289
51,4117,0,253,82283,1187,289
52,59921,183,1021,26479,419,106
53,0,0,0,86400,1440,289
54,0,0,12,86400,1428,289
55,0,0,46,86400,1394,289
56,0,0,0,86400,1440,289
57,0,0,8,86400,1432,289
58,60615,207,1028,25785,412,82
59,0,0,0,86400,1440,289
60,44841,136,801,41559,639,153
61,39786,133,756,46614,684,156
62,0,0,18,86400,1422,289
63,74179,248,1239,12221,201,41
64,52327,175,914,34073,526,114
65,38357,128,691,48043,749,161
66,0,0,18,86400,1422,289
67,35321,121,609,51079,831,168
68,47609,159,801,38791,639,130
69,17589,50,400,68811,1040,239
70,5964,0,261,80436,1179,289
71,0,0,9,86400,1431,289
72,2580,0,87,83820,1353,289
73,15862,53,395,70538,1045,236
74,0,0,0,86400,1440,289
75,37808,132,662,48592,778,157
76,30341,110,551,56059,889,179
77,42963,158,796,43437,644,131
78,60211,169,1089,26189,351,120
79,64531,219,1189,21869,251,70
80,0,0,252,86400,1188,289
81,4642,0,226,81758,1214,289
82,24573,83,410,61827,1030,206
83,2689,0,154,83711,1286,289
84,53224,180,909,33176,531,109
85,0,0,6,86400,1434,289
86,63330,214,1067,23070,373,75
87,54911,185,1012,31489,428,104
88,44021,147,756,42379,684,142
89,10795,36,216,75605,1224,253
90,7099,0,201,79301,1239,289
91,15503,36,358,70897,1082,253
92,0,0,19,86400,1421,289
93,67287,233,1145,19113,295,56
94,32526,110,770,53874,670,179
95,59957,204,1049,26443,391,85
96,14284,48,376,72116,1064,241
97,1820,0,70,84580,1370,289
98,10145,34,194,76255,1246,255
99,28467,100,506,57933,934,189
100,0,0,40,86400,1400,289
101,2221,0,164,84179,1276,289
102,4488,0,148,81912,1292,289
103,63436,212,1065,22964,375,77
104,13286,32,317,73114,1123,257
105,38597,138,691,47803,749,151
106,43495,154,858,42905,582,135
107,13988,0,306,72412,1134,289
108,0,0,13,86400,1427,289
109,0,0,0,86400,1440,289
110,48562,167,878,37838,562,122
111,51549,169,945,34851,495,120
112,33036,111,663,53364,777,178
113,2922,0,93,83478,1347,289
114,0,0,51,86400,1389,289
115,0,0,0,86400,1440,289
116,0,0,6,86400,1434,289
117,2431,0,138,83969,1302,289
118,0,0,0,86400,1440,289
119,66649,226,1111,19751,329,63
120,35702,137,752,50698,688,152
121,0,0,6,86400,1434,289
