"Iteration","Blue_Path_Total_Gaps_Sum","Positions_1_Min_Total_Gaps_Sum","Positions_5_Min_Total_Gaps_Sum","Blue_Path_Residency_Time","Positions_1_Min_Residency_Time","Positions_5_Min_Residency_Time"
1,27867,99,565,58533,875,190
2,26242,0,570,60158,870,289
3,80834,271,1348,5566,92,18
4,0,0,61,86400,1379,289
5,27191,91,455,59209,985,198
6,47820,110,948,38580,492,179
7,37841,61,648,48559,792,228
8,0,0,0,86400,1440,289
9,8498,0,358,77902,1082,289
10,27942,110,630,58458,810,179
11,23303,0,527,63097,913,289
12,0,0,0,86400,1440,289
13,20007,67,407,66393,1033,222
14,72034,242,1205,14366,235,47
15,78109,267,1329,8291,111,22
16,70147,235,1170,16253,270,54
17,42928,153,792,43472,648,136
18,34690,132,661,51710,779,157
19,26179,61,568,60221,872,228
20,34147,116,572,52253,868,173
21,0,0,0,86400,1440,289
22,0,0,0,86400,1440,289
23,8385,0,343,78015,1097,289
24,36936,103,680,49464,760,186
25,55771,197,977,30629,463,92
26,73559,246,1226,12841,214,43
27,48208,161,860,38192,580,128
28,56091,180,974,30309,466,109
29,20503,70,440,65897,1000,219
30,10282,0,227,76118,1213,289
31,25686,90,462,60714,978,199
32,60810,174,1032,25590,408,115
33,5455,0,145,80945,1295,289
34,7040,0,206,79360,1234,289
35,42064,141,763,44336,677,148
36,58313,197,1013,28087,427,92
37,0,0,50,86400,1390,289
38,33440,100,561,52960,879,189
39,31764,71,630,54636,810,218
40,8109,0,260,78291,1180,289
41,7978,0,204,78422,1236,289
42,0,0,0,86400,1440,289
43,44891,85,868,41509,572,204
44,0,0,45,86400,1395,289
45,48551,162,939,37849,501,127
46,0,0,0,86400,1440,289
47,33589,80,709,52811,731,209
48,23102,68,448,63298,992,221
49,0,0,0,86400,1440,289
50,9786,0,171,76614,1269,289
51,47577,160,795,38823,645,129
52,41436,141,691,44964,749,148
53,61019,207,1018,25381,422,82
54,30676,113,553,55724,887,176
