"Trial","Curious_1_Min","Curious_5_Min","Aggressive_1_Min","Aggressive_5_Min"
1,11,3,4,1
2,9,2,7,1
3,9,2,4,1
4,6,2,4,0
5,4,1,4,0
6,2,0,4,1
7,5,1,5,1
8,3,1,3,1
9,5,1,4,1
10,11,3,4,1
11,0,0,2,1
12,7,1,4,1
13,12,3,7,1
14,6,2,3,0
15,8,1,7,2
16,0,0,3,0
17,9,1,4,1
18,0,0,3,1
19,4,1,4,0
20,4,1,6,1
21,4,1,3,1
22,2,0,4,1
23,0,0,4,1
24,6,1,2,1
25,8,2,4,1
26,5,1,4,0
27,3,1,4,1
28,10,2,4,1
29,0,0,4,1
30,0,0,3,1
31,6,2,3,0
32,4,1,3,1
33,10,2,4,1
34,6,2,3,1
35,0,0,3,1
36,2,1,4,1
37,0,0,0,0
38,8,2,3,1
39,6,2,3,1
40,4,1,4,1
41,0,0,4,0
42,4,1,4,0
43,9,2,0,0
44,9,2,0,0
45,4,1,4,1
46,8,2,4,1
47,0,0,2,1
48,7,1,0,0
49,6,1,4,1
50,8,1,3,1
51,0,0,3,1
52,6,2,4,0
53,10,2,4,1
54,5,1,4,0
55,8,2,4,0
56,6,2,4,0
57,4,1,4,1
58,6,2,3,1
59,8,2,3,0
60,9,2,4,1
61,8,1,0,0
62,5,1,3,1
63,6,2,4,1
64,7,1,2,0
65,4,1,4,1
66,8,2,4,0
67,0,0,3,1
68,4,1,4,1
69,0,0,3,1
70,7,2,4,1
71,5,1,3,1
72,3,1,3,1
73,4,1,4,1
74,5,1,3,1
75,8,1,7,1
76,5,1,4,0
77,5,1,4,1
78,10,2,3,0
79,6,2,2,1
80,5,1,3,1
81,10,2,2,0
82,9,2,6,1
83,9,1,0,0
84,7,2,4,0
85,9,2,4,1
86,4,1,4,1
87,2,0,2,1
88,4,1,4,1
89,7,1,3,1
90,3,1,4,1
91,7,1,4,0
92,11,2,3,0
93,4,1,4,0
94,8,2,4,1
95,0,0,3,0
96,0,0,3,1
97,6,1,4,1
98,9,2,4,1
99,3,0,4,1
100,10,2,4,1
101,4,0,3,1
102,7,1,7,1
103,5,1,4,0
104,8,2,3,1
105,9,2,4,0
106,8,2,4,1
107,0,0,3,0
108,7,2,3,0
109,10,2,4,1
110,6,2,3,1
111,8,2,3,1
112,5,1,4,1
113,4,1,4,0
114,0,0,4,1
115,0,0,3,1
116,0,0,3,0
117,3,1,3,0
118,0,0,1,0
119,9,2,4,1
120,6,2,4,1
121,7,2,3,0
122,7,2,3,1
123,9,2,3,0
124,7,2,0,0
125,0,0,4,0
126,5,1,4,1
127,6,2,3,1
128,0,0,4,1
129,0,0,5,1
130,0,0,2,1
131,8,1,1,0
132,9,2,3,1
133,7,2,3,0
134,7,2,2,1
135,0,0,7,2
136,13,3,4,1
137,0,0,0,0
138,6,2,6,2
139,10,2,4,1
140,10,2,3,1
141,0,0,4,0
142,11,2,3,1
143,2,0,4,1
144,10,2,4,1
145,6,1,4,1
146,10,2,3,1
147,7,2,3,1
148,5,1,3,1
149,0,0,4,1
150,0,0,4,1
151,9,1,3,1
152,4,1,4,0
153,0,0,3,1
154,7,1,4,1
155,0,0,4,1
156,8,2,3,0
157,7,2,2,0
158,0,0,3,1
159,8,2,4,1
160,4,1,0,0
161,9,2,4,1
162,6,1,6,1
163,7,2,5,1
164,8,2,5,1
165,9,2,3,1
166,5,1,4,1
167,0,0,4,0
168,8,1,4,1
169,7,2,3,0
170,7,2,3,1
171,9,2,3,1
172,0,0,4,1
173,6,2,3,0
174,8,2,0,0
175,8,1,3,1
176,0,0,4,0
177,8,2,4,1
178,4,1,2,0
179,8,1,1,1
180,0,0,2,1
181,7,2,4,1
182,5,1,4,1
183,7,1,4,1
184,11,2,4,1
185,0,0,3,0
186,4,1,3,0
187,10,2,3,1
188,1,0,4,1
189,2,1,0,0
190,5,1,0,0
191,5,1,3,0
192,6,2,4,1
193,8,2,4,1
194,0,0,4,0
195,5,1,3,0
196,12,2,3,1
197,6,2,3,0
