"Iteration","Blue_Path_Total_Gaps_Sum","Positions_1_Min_Total_Gaps_Sum","Positions_5_Min_Total_Gaps_Sum","Blue_Path_Residency_Time","Positions_1_Min_Residency_Time","Positions_5_Min_Residency_Time"
1,0,0,80,86400,1360,289
2,0,0,90,86400,1350,289
3,76186,255,1273,10214,167,34
4,0,0,0,86400,1440,289
5,0,0,114,86400,1326,289
6,0,0,119,86400,1321,289
7,0,0,29,86400,1411,289
8,21941,0,870,64459,570,289
9,23720,0,493,62680,947,289
10,9544,0,467,76856,973,289
11,44222,152,743,42178,697,137
12,69257,231,1155,17143,285,58
13,19688,0,435,66712,1005,289
14,8578,0,219,77822,1221,289
15,0,0,0,86400,1440,289
16,15621,0,339,70779,1101,289
17,27218,0,714,59182,726,289
18,0,0,0,86400,1440,289
19,0,0,0,86400,1440,289
20,12147,0,206,74253,1234,289
21,0,0,132,86400,1308,289
22,7894,0,131,78506,1309,289
23,0,0,58,86400,1382,289
24,0,0,228,86400,1212,289
25,7569,0,283,78831,1157,289
26,47701,160,796,38699,644,129
27,24813,0,425,61587,1015,289
28,60396,181,1016,26004,424,108
29,24420,0,414,61980,1026,289
30,10781,0,301,75619,1139,289
31,55403,0,959,30997,481,289
32,30824,139,792,55576,648,150
33,0,0,0,86400,1440,289
34,63885,218,1065,22515,375,71
35,0,0,130,86400,1310,289
36,41965,0,735,44435,705,289
37,13945,0,487,72455,953,289
38,0,0,0,86400,1440,289
39,70298,264,1317,16102,123,25
40,0,0,101,86400,1339,289
41,0,0,112,86400,1328,289
42,37702,127,731,48698,709,162
43,20945,0,350,65455,1090,289
44,7215,0,201,79185,1239,289
45,0,0,33,86400,1407,289
46,59753,217,1109,26647,331,72
47,0,0,68,86400,1372,289
48,45219,0,860,41181,580,289
49,33621,132,657,52779,783,157
50,13918,0,437,72482,1003,289
51,0,0,148,86400,1292,289
52,0,0,0,86400,1440,289
53,62845,142,1164,23555,276,147
54,38851,0,688,47549,752,289
55,16576,0,285,69824,1155,289
56,0,0,123,86400,1317,289
57,0,0,71,86400,1369,289
58,41614,139,694,44786,746,150
59,0,0,0,86400,1440,289
60,0,0,132,86400,1308,289
61,38049,135,687,48351,753,154
62,49065,167,825,37335,615,122
63,0,0,0,86400,1440,289
64,65322,218,1090,21078,350,71
65,33320,0,736,53080,704,289
66,14415,0,267,71985,1173,289
67,0,0,0,86400,1440,289
68,24825,0,766,61575,674,289
69,0,0,0,86400,1440,289
70,8642,0,191,77758,1249,289
71,51749,177,953,34651,487,112
72,47223,0,792,39177,648,289
73,32904,0,692,53496,748,289
74,0,0,65,86400,1375,289
75,0,0,0,86400,1440,289
76,0,0,42,86400,1398,289
77,0,0,157,86400,1283,289
78,0,0,93,86400,1347,289
79,0,0,32,86400,1408,289
80,37534,143,748,48866,692,146
81,15491,0,362,70909,1078,289
82,22645,0,498,63755,942,289
83,0,0,95,86400,1345,289
84,7906,0,364,78494,1076,289
85,77978,263,1301,8422,139,26
86,40956,160,893,45444,547,129
87,0,0,77,86400,1363,289
88,44826,121,857,41574,583,168
89,34882,0,688,51518,752,289
90,0,0,0,86400,1440,289
91,0,0,128,86400,1312,289
92,0,0,0,86400,1440,289
93,8470,0,362,77930,1078,289
94,18160,0,385,68240,1055,289
95,22065,0,416,64335,1024,289
96,0,0,0,86400,1440,289
97,49426,166,824,36974,616,123
98,66046,250,1269,20354,171,39
99,18737,0,379,67663,1061,289
100,31342,0,554,55058,886,289
101,60958,205,1058,25442,382,84
102,16221,0,378,70179,1062,289
103,0,0,264,86400,1176,289
104,26753,0,453,59647,987,289
105,17360,0,379,69040,1061,289
106,0,0,0,86400,1440,289
107,11625,0,467,74775,973,289
108,15061,0,654,71339,786,289
109,18666,0,343,67734,1097,289
110,38818,142,840,47582,600,147
111,0,0,82,86400,1358,289
112,17027,0,313,69373,1127,289
113,0,0,69,86400,1371,289
114,31081,0,703,55319,737,289
115,0,0,177,86400,1263,289
116,55278,134,1060,31122,380,155
117,47823,169,954,38577,486,120
118,42976,157,969,43424,471,132
119,0,0,0,86400,1440,289
120,12841,0,222,73559,1218,289
121,13617,0,418,72783,1022,289
122,24219,0,412,62181,1028,289
123,25102,0,421,61298,1019,289
124,31179,0,552,55221,888,289
125,16158,0,570,70242,870,289
126,67580,230,1135,18820,305,59
127,0,0,0,86400,1440,289
128,0,0,0,86400,1440,289
129,46545,157,776,39855,664,132
130,26853,0,718,59547,722,289
131,0,0,75,86400,1365,289
132,53193,181,1034,33207,406,108
133,57581,193,976,28819,464,96
134,19520,0,405,66880,1035,289
135,9041,0,188,77359,1252,289
136,0,0,0,86400,1440,289
137,67064,267,1312,19336,128,22
138,9356,0,264,77044,1176,289
139,0,0,169,86400,1271,289
140,0,0,32,86400,1408,289
141,0,0,0,86400,1440,289
142,16414,0,672,69986,768,289
143,0,0,108,86400,1332,289
144,9178,0,223,77222,1217,289
145,28679,0,634,57721,806,289
146,0,0,0,86400,1440,289
147,67888,233,1163,18512,277,56
148,15406,0,339,70994,1101,289
149,10987,0,189,75413,1251,289
150,66721,231,1143,19679,297,58
151,0,0,0,86400,1440,289
152,66319,199,1161,20081,279,90
153,24528,0,441,61872,999,289
154,0,0,0,86400,1440,289
155,48364,140,819,38036,621,149
156,15519,0,336,70881,1104,289
157,0,0,0,86400,1440,289
158,60291,201,1013,26109,427,88
159,0,0,0,86400,1440,289
160,55421,185,1032,30979,408,104
161,0,0,0,86400,1440,289
162,62567,261,1297,23833,143,28
163,17516,0,293,68884,1147,289
164,0,0,152,86400,1288,289
165,23407,0,662,62993,778,289
166,0,0,75,86400,1365,289
167,0,0,205,86400,1235,289
168,0,0,0,86400,1440,289
169,69010,202,1158,17390,282,87
170,19283,0,347,67117,1093,289
171,15795,0,332,70605,1108,289
172,58899,123,1010,27501,430,166
173,35243,125,595,51157,845,164
174,0,0,0,86400,1440,289
175,0,0,125,86400,1315,289
176,9428,0,288,76972,1152,289
177,33171,122,605,53229,835,167
178,0,0,0,86400,1440,289
179,13070,0,224,73330,1216,289
180,39265,131,657,47135,783,158
181,13673,0,235,72727,1205,289
182,0,0,0,86400,1440,289
183,9441,0,259,76959,1181,289
184,0,0,63,86400,1377,289
185,0,0,63,86400,1377,289
186,48586,162,898,37814,542,127
187,34729,120,580,51671,860,169
188,28133,0,737,58267,703,289
189,53009,194,959,33391,481,95
190,45299,0,958,41101,482,289
191,28726,125,836,57674,604,164
192,23430,0,588,62970,852,289
193,23038,0,394,63362,1046,289
194,9115,0,340,77285,1100,289
195,0,0,26,86400,1414,289
196,60051,203,1002,26349,438,86
197,0,0,204,86400,1236,289
198,22197,0,375,64203,1065,289
199,0,0,0,86400,1440,289
200,0,0,0,86400,1440,289
201,56507,189,944,29893,496,100
202,65595,121,1125,20805,315,168
203,54774,0,961,31626,479,289
204,24331,0,573,62069,867,289
205,0,0,154,86400,1286,289
206,49789,134,989,36611,451,155
207,61336,194,1118,25064,322,95
208,45504,121,895,40896,545,168
209,28784,0,519,57616,921,289
210,68970,237,1175,17430,265,52
211,0,0,213,86400,1227,289
212,0,0,155,86400,1285,289
213,9956,0,260,76444,1180,289
214,37113,0,654,49287,786,289
215,10257,0,417,76143,1023,289
216,44580,152,743,41820,697,137
217,0,0,0,86400,1440,289
218,10282,0,229,76118,1211,289
219,0,0,74,86400,1366,289
220,0,0,34,86400,1406,289
221,7329,0,208,79071,1232,289
222,19059,0,434,67341,1006,289
223,0,0,150,86400,1290,289
224,0,0,0,86400,1440,289
225,0,0,155,86400,1285,289
226,0,0,215,86400,1225,289
227,48557,163,892,37843,548,126
228,0,0,0,86400,1440,289
229,67245,227,1125,19155,315,62
230,66144,224,1104,20256,336,65
231,0,0,35,86400,1405,289
232,0,0,116,86400,1324,289
233,36607,123,807,49793,633,166
234,72465,242,1212,13935,228,47
235,0,0,0,86400,1440,289
236,41284,140,689,45116,751,149
237,37514,126,628,48886,812,163
238,36780,0,624,49620,816,289
239,0,0,27,86400,1413,289
240,7395,0,288,79005,1152,289
241,19819,0,333,66581,1107,289
242,18927,0,346,67473,1094,289
243,65501,187,1129,20899,311,102
244,0,0,256,86400,1184,289
245,0,0,0,86400,1440,289
246,35596,120,618,50804,822,169
247,56262,191,989,30138,451,98
248,48588,0,820,37812,620,289
249,8611,0,180,77789,1260,289
250,50269,180,880,36131,560,109
251,47411,159,792,38989,648,130
252,70056,172,1178,16344,262,117
253,0,0,0,86400,1440,289
254,24933,0,434,61467,1006,289
255,27076,0,512,59324,928,289
256,11562,0,487,74838,953,289
257,9833,0,334,76567,1106,289
258,24628,0,460,61772,980,289
259,10477,0,239,75923,1201,289
260,59492,138,1062,26908,378,151
261,0,0,0,86400,1440,289
262,12346,0,417,74054,1023,289
263,15600,0,301,70800,1139,289
264,43384,145,790,43016,650,144
265,0,0,159,86400,1281,289
266,0,0,214,86400,1226,289
267,9034,0,184,77366,1256,289
268,47446,159,915,38954,525,130
269,24122,0,404,62278,1036,289
270,61218,205,1021,25182,419,84
271,38951,0,756,47449,684,289
272,0,0,70,86400,1370,289
273,8655,0,196,77745,1244,289
274,24392,0,511,62008,929,289
275,22012,0,466,64388,974,289
276,0,0,0,86400,1440,289
277,53051,0,1033,33349,407,289
278,41570,0,781,44830,659,289
279,65889,220,1151,20511,289,69
280,16451,0,381,69949,1059,289
281,7264,0,240,79136,1200,289
282,0,0,27,86400,1413,289
283,50511,0,967,35889,473,289
284,0,0,0,86400,1440,289
285,13904,0,237,72496,1203,289
286,33686,0,655,52714,785,289
287,34602,0,594,51798,846,289
288,15961,0,434,70439,1006,289
289,0,0,0,86400,1440,289
290,28259,0,590,58141,850,289
291,0,0,0,86400,1440,289
292,0,0,39,86400,1401,289
293,0,0,0,86400,1440,289
294,46437,155,800,39963,640,134
295,59687,201,1006,26713,434,88
296,0,0,0,86400,1440,289
297,9704,0,195,76696,1245,289
298,50794,133,987,35606,453,156
299,28983,0,701,57417,739,289
300,13104,0,395,73296,1045,289
301,0,0,58,86400,1382,289
302,0,0,0,86400,1440,289
303,0,0,32,86400,1408,289
304,0,0,109,86400,1331,289
305,26357,0,445,60043,995,289
306,19621,0,346,66779,1094,289
307,0,0,27,86400,1413,289
308,0,0,0,86400,1440,289
309,38425,131,703,47975,737,158
310,35318,0,837,51082,603,289
311,0,0,36,86400,1404,289
312,40077,135,675,46323,765,154
313,19242,0,329,67158,1111,289
314,17530,0,346,68870,1094,289
315,0,0,72,86400,1368,289
316,24209,0,497,62191,943,289
317,0,0,196,86400,1244,289
318,28084,0,552,58316,888,289
319,0,0,64,86400,1376,289
320,37936,129,637,48464,803,160
321,12887,0,473,73513,967,289
322,36107,153,719,50293,721,136
323,0,0,0,86400,1440,289
324,48129,166,1084,38271,356,123
325,10699,0,214,75701,1226,289
326,9764,0,279,76636,1161,289
327,67368,226,1126,19032,314,63
328,0,0,0,86400,1440,289
329,0,0,0,86400,1440,289
330,8152,0,260,78248,1180,289
331,0,0,0,86400,1440,289
332,0,0,275,86400,1165,289
333,46843,158,782,39557,658,131
334,7927,0,335,78473,1105,289
335,58108,194,1021,28292,419,95
336,0,0,0,86400,1440,289
337,67537,229,1127,18863,313,60
338,0,0,90,86400,1350,289
339,33268,0,655,53132,785,289
340,69655,234,1171,16745,269,55
341,0,0,0,86400,1440,289
342,0,0,0,86400,1440,289
343,17719,0,298,68681,1142,289
344,33605,0,693,52795,747,289
345,61585,206,1031,24815,409,83
346,69771,233,1169,16629,271,56
347,58351,206,1024,28049,416,83
348,18110,0,389,68290,1051,289
349,8687,0,411,77713,1029,289
350,0,0,0,86400,1440,289
351,0,0,0,86400,1440,289
352,24446,0,641,61954,799,289
353,25928,0,697,60472,743,289
354,31614,0,567,54786,873,289
355,63337,145,1172,23063,268,144
356,22294,0,678,64106,762,289
